district,pct_college,pct_white_nh_college,pct_white_nh_non_college,pct_nonwhite_college,pct_nonwhite_non_college,pct_under_30,pct_30_44,pct_45_64,pct_65_plus,median_age,median_income,total_population_acs,source
CA-37,28.83,9.78,4.69,19.05,66.48,25.43,29.27,29.88,15.42,35.6,70603,755317,ACS_2023_tract_to_new_lines
CA-38,28.07,6.47,8.76,21.6,63.17,20.02,24.77,34.17,21.03,40.0,95408,757523,ACS_2023_tract_to_new_lines
CA-39,19.51,6.79,17.22,12.72,63.27,27.19,28.43,30.02,14.36,33.6,91138,756504,ACS_2023_tract_to_new_lines
CA-40,36.56,20.33,30.58,16.24,32.86,18.43,26.23,35.36,19.98,40.1,129096,758355,ACS_2023_tract_to_new_lines
CA-41,28.79,9.58,15.9,19.21,55.31,20.64,27.0,33.3,19.06,38.3,100351,757743,ACS_2023_tract_to_new_lines
CA-42,44.27,27.04,23.02,17.23,32.71,20.74,26.91,32.18,20.17,40.6,107649,757992,ACS_2023_tract_to_new_lines
CA-43,22.09,3.82,4.67,18.28,73.24,22.98,28.61,32.69,15.71,35.6,74851,754875,ACS_2023_tract_to_new_lines
CA-44,18.44,3.38,6.67,15.06,74.88,22.66,27.87,32.82,16.66,36.4,78132,757709,ACS_2023_tract_to_new_lines
CA-45,34.12,9.01,14.5,25.11,51.37,20.13,24.49,34.66,20.71,40.3,101783,758321,ACS_2023_tract_to_new_lines
CA-46,23.86,7.98,13.1,15.88,63.04,25.05,28.28,31.33,15.33,34.9,91111,757683,ACS_2023_tract_to_new_lines
CA-47,60.89,31.36,19.56,29.53,19.55,20.2,26.24,33.12,20.44,40.9,135936,759243,ACS_2023_tract_to_new_lines
